"년월","시군구","인원"
"2023-04","경남 고성군","104"
"2023-04","경남 김해시","653"
"2023-04","경남 남해군","90"
"2023-04","경남 밀양시","195"
"2023-04","경남 사천시","46"
"2023-04","경남 양산시","347"
"2023-04","경남 의령군","51"
"2023-04","경남 진주시","622"
"2023-04","경남 창녕군","92"
"2023-04","경남 창원시","2371"
"2023-04","경남 통영시","196"
"2023-04","경남 하동군","73"
"2023-04","경남 함안군","92"
"2023-04","경남 함양군","87"
"2023-04","경남 합천군","60"
"2023-04","경북 경산시","709"
"2023-04","경북 경주시","921"
"2023-04","경북 고령군","52"
"2023-04","경북 구미시","540"
"2023-04","경북 김천시","260"
"2023-04","경북 문경시","232"
"2023-04","경북 봉화군","39"
"2023-04","경북 상주시","334"
"2023-04","경북 성주군","65"
"2023-04","경북 안동시","562"
"2023-04","경북 영덕군","40"
"2023-04","경북 영주시","247"
"2023-04","경북 영천시","225"
"2023-04","경북 예천군","57"
"2023-04","경북 울진군","77"
"2023-04","경북 의성군","124"
"2023-04","경북 청도군","90"
"2023-04","경북 청송군","37"
"2023-04","경북 칠곡군","59"
"2023-04","경북 포항시","1236"
"2023-04","광주시 광산구","15"
"2023-04","광주시 남구","44"
"2023-04","광주시 동구","38"
"2023-04","광주시 북구","16"
"2023-04","광주시 서구","49"
"2023-04","대구시 군위군","46"
"2023-04","대구시 남구","16"
"2023-04","대구시 달서구","13"
"2023-04","대구시 달성군","2"
"2023-04","대구시 동구","235"
"2023-04","대구시 북구","170"
"2023-04","대구시 서구","42"
"2023-04","대구시 수성구","28"
"2023-04","대구시 중구","6"
"2023-04","대전시 대덕구","12"
"2023-04","대전시 동구","74"
"2023-04","대전시 서구","85"
"2023-04","대전시 유성구","29"
"2023-04","대전시 중구","39"
"2023-04","부산시 강서구","16"
"2023-04","부산시 금정구","1021"
"2023-04","부산시 기장군","312"
"2023-04","부산시 남구","514"
"2023-04","부산시 동구","54"
"2023-04","부산시 동래구","416"
"2023-04","부산시 부산진구","72"
"2023-04","부산시 북구","499"
"2023-04","부산시 사상구","63"
"2023-04","부산시 사하구","452"
"2023-04","부산시 서구","29"
"2023-04","부산시 수영구","250"
"2023-04","부산시 연제구","72"
"2023-04","부산시 영도구","321"
"2023-04","부산시 중구","19"
"2023-04","부산시 진구","127"
"2023-04","부산시 해운대구","254"
"2023-04","서울시 강남구","30"
"2023-04","서울시 강동구","169"
"2023-04","서울시 강북구","426"
"2023-04","서울시 강서구","350"
"2023-04","서울시 관악구","444"
"2023-04","서울시 광진구","123"
"2023-04","서울시 구로구","309"
"2023-04","서울시 금천구","141"
"2023-04","서울시 노원구","952"
"2023-04","서울시 도봉구","498"
"2023-04","서울시 동대문구","394"
"2023-04","서울시 동작구","107"
"2023-04","서울시 마포구","172"
"2023-04","서울시 서대문구","161"
"2023-04","서울시 서초구","75"
"2023-04","서울시 성동구","255"
"2023-04","서울시 성북구","306"
"2023-04","서울시 송파구","361"
"2023-04","서울시 양천구","434"
"2023-04","서울시 영등포구","787"
"2023-04","서울시 용산구","139"
"2023-04","서울시 은평구","264"
"2023-04","서울시 종로구","1954"
"2023-04","서울시 중구","144"
"2023-04","서울시 중랑구","395"
"2023-04","세종 세종시","124"
"2023-04","울산시 남구","1868"
"2023-04","울산시 동구","92"
"2023-04","울산시 북구","212"
"2023-04","울산시 울주군","192"
"2023-04","울산시 중구","176"
"2023-04","인천시 강화군","124"
"2023-04","인천시 계양구","413"
